Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,D,2004-02,52.8
AT,D,2004-03,58.0
AT,D,2004-04,49.5
AT,D,2004-05,51.1
AT,D,2004-06,50.1
AT,D,2004-07,49.9
AT,D,2004-08,47.8
AT,D,2004-09,49.8
AT,D,2004-10,53.8
AT,D,2004-11,56.6
AT,D,2004-12,58.9
AT,D,2005-01,56.0
AT,D,2005-02,56.7
AT,D,2005-03,58.0
AT,D,2005-04,50.9
AT,D,2005-05,47.9
AT,D,2005-06,51.3
AT,D,2005-07,50.1
AT,D,2005-08,46.7
AT,D,2005-09,52.2
AT,D,2005-10,58.6
AT,D,2005-11,66.8
AT,D,2005-12,73.1
AT,D,2006-01,71.6
AT,D,2006-02,67.1
AT,D,2006-03,74.4
AT,D,2006-04,57.1
AT,D,2006-05,49.3
AT,D,2006-06,51.3
AT,D,2006-07,56.6
AT,D,2006-08,50.3
AT,D,2006-09,48.7
AT,D,2006-10,58.1
AT,D,2006-11,66.8
AT,D,2006-12,70.2
AT,D,2007-01,70.3
AT,D,2007-02,66.3
AT,D,2007-03,64.8
AT,D,2007-04,55.0
AT,D,2007-05,51.1
AT,D,2007-06,54.2
AT,D,2007-07,55.9
AT,D,2007-08,51.8
AT,D,2007-09,54.0
AT,D,2007-10,63.6
AT,D,2007-11,70.1
AT,D,2007-12,73.9
AT,D,2008-01,74.0
AT,D,2008-02,69.8
AT,D,2008-03,70.3
AT,D,2008-04,58.6
AT,D,2008-05,60.5
AT,D,2008-06,61.4
AT,D,2008-07,64.3
AT,D,2008-08,63.2
AT,D,2008-09,63.2
AT,D,2008-10,67.4
AT,D,2008-11,71.6
AT,D,2008-12,80.4
AT,D,2009-01,73.3
AT,D,2009-02,68.7
AT,D,2009-03,72.8
AT,D,2009-04,59.9
AT,D,2009-05,58.6
AT,D,2009-06,57.1
AT,D,2009-07,57.5
AT,D,2009-08,55.6
AT,D,2009-09,61.1
AT,D,2009-10,67.9
AT,D,2009-11,67.3
AT,D,2009-12,77.0
AT,D,2010-01,69.1
AT,D,2010-02,71.0
AT,D,2010-03,69.6
AT,D,2010-04,57.8
AT,D,2010-05,64.0
AT,D,2010-06,64.9
AT,D,2010-07,60.7
AT,D,2010-08,65.0
AT,D,2010-09,65.9
AT,D,2010-10,69.7
AT,D,2010-11,72.9
AT,D,2010-12,86.6
AT,D,2011-01,77.9
AT,D,2011-02,71.4
AT,D,2011-03,77.0
AT,D,2011-04,62.6
AT,D,2011-05,64.8
AT,D,2011-06,63.5
AT,D,2011-07,60.7
AT,D,2011-08,60.0
AT,D,2011-09,66.2
AT,D,2011-10,72.2
AT,D,2011-11,74.2
AT,D,2011-12,82.9
AT,D,2012-01,80.8
AT,D,2012-02,86.0
AT,D,2012-03,86.2
AT,D,2012-04,72.7
AT,D,2012-05,75.1
AT,D,2012-06,75.9
AT,D,2012-07,69.7
AT,D,2012-08,71.2
AT,D,2012-09,75.3
AT,D,2012-10,84.9
AT,D,2012-11,84.8
AT,D,2012-12,97.9
AT,D,2013-01,83.4
AT,D,2013-02,75.9
AT,D,2013-03,85.6
AT,D,2013-04,72.6
AT,D,2013-05,71.5
AT,D,2013-06,68.4
AT,D,2013-07,66.9
AT,D,2013-08,65.5
AT,D,2013-09,72.5
AT,D,2013-10,77.2
AT,D,2013-11,82.3
AT,D,2013-12,92.1
AT,D,2014-01,78.3
AT,D,2014-02,68.5
AT,D,2014-03,73.1
AT,D,2014-04,62.9
AT,D,2014-05,64.0
AT,D,2014-06,63.1
AT,D,2014-07,59.8
AT,D,2014-08,60.4
AT,D,2014-09,65.4
AT,D,2014-10,69.2
AT,D,2014-11,79.8
AT,D,2014-12,81.2
AT,D,2015-01,79.1
AT,D,2015-02,72.0
AT,D,2015-03,72.1
AT,D,2015-04,67.7
AT,D,2015-05,63.1
AT,D,2015-06,57.9
AT,D,2015-07,57.8
AT,D,2015-08,56.6
AT,D,2015-09,61.1
AT,D,2015-10,66.7
AT,D,2015-11,65.8
AT,D,2015-12,74.5
AT,D,2016-01,68.2
AT,D,2016-02,69.4
AT,D,2016-03,70.3
AT,D,2016-04,56.1
AT,D,2016-05,54.9
AT,D,2016-06,57.7
AT,D,2016-07,55.4
AT,D,2016-08,57.3
AT,D,2016-09,57.6
AT,D,2016-10,67.6
AT,D,2016-11,72.4
AT,D,2016-12,84.7
AT,D,2017-01,83.2
AT,D,2017-02,74.9
AT,D,2017-03,76.5
AT,D,2017-04,63.3
AT,D,2017-05,61.7
AT,D,2017-06,61.1
AT,D,2017-07,63.5
AT,D,2017-08,64.5
AT,D,2017-09,72.4
AT,D,2017-10,72.2
AT,D,2017-11,81.1
AT,D,2017-12,88.0
AT,D,2018-01,90.2
AT,D,2018-02,80.5
AT,D,2018-03,87.8
AT,D,2018-04,71.3
AT,D,2018-05,68.4
AT,D,2018-06,72.8
AT,D,2018-07,67.3
AT,D,2018-08,66.4
AT,D,2018-09,80.4
AT,D,2018-10,89.2
AT,D,2018-11,94.2
AT,D,2018-12,106.6
