99xx_HTS,Mapped_HTS,Revision,Publication_Date
9903.81.89,7317.00.30,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.5503,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.5505,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.5507,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.5560,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.5580,hts_2025_revision_14_csv,2025-06-02
9903.81.89,7317.00.6560,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8701,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8702,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8703,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8704,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8705,hts_2025_revision_14_csv,2025-06-02
9903.81.89,8708.29.21,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7301.20.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7301.20.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7302.30.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.21.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.21.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.22.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.22.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.23.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.29.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.91.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.91.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.91.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.92.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.92.90,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.93.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.93.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.93.90,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.99.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.99.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7307.99.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.10.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.20.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.30.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.30.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.40.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.90.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.90.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.90.70,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7308.90.95,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7309.00.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7310.10.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7310.21.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7310.29.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7311.00.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.05,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.20,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.70,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.80,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.10.90,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7312.90.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7313.00.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.12.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.12.20,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.12.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.12.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.12.90,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.14.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.14.20,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.14.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.14.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.14.90,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.19.01,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.20.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.31.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.31.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.39.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.41.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.42.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.49.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.49.60,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7314.50.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.11.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.12.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.19.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.20.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.20.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.81.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.82.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.82.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.82.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.82.70,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.89.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.89.30,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.89.50,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7315.90.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7316.00.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7317.00.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7317.00.20,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7317.00.55,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7317.00.65,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7317.00.75,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7318.11.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7318.12.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7318.13.00,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7318.14.10,hts_2025_revision_14_csv,2025-06-02
9903.81.90,7318.14.50,hts_2025_revision_14_csv,2025-06-02
